Crop,Disease,Symptoms,Solution
Rice,Rice Blast,severe blast infection causing complete leaf blight,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Rice,Bacterial Blight,entire leaf turning pale yellow and drying,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Rice,Rice Blast,rice crop showing lodging due to node blast,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Rice,Rice Blast,panicle neck rot causing empty white grains,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Wheat,Leaf Rust,pustules rupture releasing orange powder on leaves,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Cotton,Root Rot,roots showing brown to black discoloration,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Maize,Leaf Blight,elongated tan colored lesions with wavy margin,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Maize,Leaf Blight,lesions expanding and merging causing leaf death,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
General,Healthy,healthy stalk with no internal discoloration on cutting,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Wheat,Leaf Rust,rust colored powder on upper side of leaf,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Cotton,Root Rot,plant wilting permanently despite irrigation,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Rice,Bacterial Blight,water soaked streaks on rice leaf margins,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Maize,Leaf Blight,leaves showing water soaked streaks turning brown,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
General,Healthy,crop showing normal maturity with no disease symptoms,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Sugarcane,Smut,long curved black whip covered with black spore mass,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
General,Healthy,crop growing normally under current weather conditions,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Cotton,Leaf Curl Virus,vein thickening followed by leaf distortion,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Rice,Rice Blast,leaves showing multiple diamond shaped grey lesions,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Maize,Rust,maize leaves covered with rust colored powder,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Cotton,Root Rot,root bark easily peeling off when pulled,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Maize,Leaf Blight,brown necrotic streaks running parallel to veins,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Rice,Bacterial Blight,wavy yellow lesions spreading along leaf margin,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Maize,Rust,small cinnamon brown spots developing into pustules,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Wheat,Leaf Rust,yield loss with rusty orange spotted foliage,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Sugarcane,Smut,black sooty spore mass covering the whip surface,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Rice,Bacterial Blight,leaf blight symptoms worse after heavy rainfall,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
General,Healthy,no yellowing or drying symptoms in the crop,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
General,Healthy,plant roots white and firm with no rotting,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Maize,Leaf Blight,tan lesions with reddish brown margin on leaf,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Sugarcane,Red Rot,leaves drying from tip while stalk rots internally,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Sugarcane,Smut,cane field showing scattered black whip structures,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Sugarcane,Red Rot,cane stalk hollow and rotten inside on splitting,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Maize,Leaf Blight,leaf tissue collapsing within elongated lesions,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Wheat,Leaf Rust,leaf rust spreading from lower to upper leaves,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Sugarcane,Red Rot,red rot causing significant sugar recovery loss,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
General,Healthy,plant showing normal vigorous growth with no symptoms,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Sugarcane,Smut,young shoots transforming into curved black whip,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Cotton,Leaf Curl Virus,boll number reduced due to viral leaf curl,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Sugarcane,Smut,smut severity increasing in ratoon crop compared to plant crop,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Maize,Rust,raised brown pustules scattered across leaf blade,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Rice,Rice Blast,brown spindle lesions with yellow halo on leaf,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Cotton,Leaf Curl Virus,enation growth on lower surface of leaf,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Rice,Rice Blast,brown lesions with pointed ends on rice leaves,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
General,Healthy,field inspection shows disease free healthy plants,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Sugarcane,Smut,black whip visible above the cane canopy,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Cotton,Leaf Curl Virus,leaves becoming cup shaped and thick,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Maize,Leaf Blight,severe blight causing complete leaf scorching,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Rice,Rice Blast,neck of panicle turning black and breaking easily,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Sugarcane,Red Rot,stalk breaking easily at rotten internode region,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Wheat,Leaf Rust,wheat crop showing rust colored streaks on leaves,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Cotton,Leaf Curl Virus,dark green thickened veins on curled leaves,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Rice,Bacterial Blight,bacterial ooze forming dew drops on young leaves,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Sugarcane,Smut,cane clump showing multiple black whips,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Rice,Bacterial Blight,bacterial blight worse in nitrogen rich rice fields,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Rice,Rice Blast,collar rot symptoms at leaf and sheath junction,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Wheat,Powdery Mildew,small black dots appearing within white patches later,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Cotton,Leaf Curl Virus,cotton plants showing bunchy top due to virus,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Maize,Leaf Blight,reduced photosynthetic area due to blighted leaves,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Sugarcane,Smut,smut whip elongating over several weeks,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Rice,Bacterial Blight,seedlings wilting completely known as kresek phase,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Maize,Leaf Blight,leaves appearing burnt with tan colored streaks,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Maize,Rust,brown powdery pustules on leaf sheath and blade,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Rice,Bacterial Blight,field showing patches of yellow dried leaves,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Wheat,Powdery Mildew,leaf surface covered with talcum like white powder,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Wheat,Powdery Mildew,white powder easily wiped off from leaf surface,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Cotton,Root Rot,patchy plant death spreading outward in field,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Wheat,Leaf Rust,premature drying of leaves with rust spots,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Sugarcane,Red Rot,stalk emitting alcoholic fermented smell when cut,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Sugarcane,Red Rot,sett rotting before germination due to red rot,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Maize,Rust,rust symptoms appear on younger leaves first,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Cotton,Root Rot,root system reduced with rotten lateral roots,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Sugarcane,Smut,thin grassy shoots replacing normal cane stalk,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Rice,Rice Blast,leaf blast reducing photosynthetic area significantly,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Maize,Leaf Blight,cigar shaped lesions with yellow halo on leaf,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Wheat,Powdery Mildew,wheat plants stunted with white coated leaves,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Sugarcane,Smut,reduced cane yield due to smut whip formation,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Cotton,Leaf Curl Virus,yellow mosaic pattern along leaf veins,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Sugarcane,Smut,black whip breaking open releasing black powdery spores,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Cotton,Leaf Curl Virus,yellow network pattern visible on curled leaf,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Maize,Rust,dense rust pustules causing leaf curling,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Cotton,Leaf Curl Virus,severe curling causing leaves to appear crumpled,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
General,Healthy,overall crop condition healthy with no visible infection,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Wheat,Leaf Rust,leaf tips drying with rust colored lesions,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Wheat,Leaf Rust,leaf surface shows powdery orange rust patches,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
General,Healthy,plants showing normal flowering and fruiting with no symptoms,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Cotton,Root Rot,stunted growth with rotten smelling roots,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Maize,Rust,rust disease favored by cool humid conditions,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Maize,Leaf Blight,cigar shaped spots spreading along leaf length,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Maize,Rust,rust pustules concentrated near leaf veins,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Rice,Rice Blast,eye shaped lesions scattered across leaf blade,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
General,Healthy,plant growth normal with good tillering and no disease,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Rice,Rice Blast,small brown spots enlarging into diamond lesions,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Wheat,Leaf Rust,small round orange blisters on leaf surface,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Wheat,Powdery Mildew,grey white fungal growth on upper leaf surface,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Wheat,Powdery Mildew,white powdery coating on leaves and stem,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Cotton,Leaf Curl Virus,younger leaves showing more severe curling symptoms,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Wheat,Powdery Mildew,leaf surface feels rough due to powdery growth,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
General,Healthy,leaves are deep green with no visible spots,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Rice,Bacterial Blight,leaf blades drying from tip downward,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Sugarcane,Red Rot,field showing patches of prematurely drying cane,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Maize,Rust,powdery reddish spores rubbing off on touch,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Sugarcane,Smut,black whip formation replacing the growing point entirely,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Sugarcane,Red Rot,foul alcoholic smell from cut cane stalk,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Wheat,Powdery Mildew,white cottony growth on stems and leaf sheath,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Wheat,Leaf Rust,small reddish brown spots scattered on leaves,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Cotton,Root Rot,plant base showing soft rotten tissue,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Wheat,Leaf Rust,reduced grain size with rusty spotted leaves,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Wheat,Leaf Rust,rust colored spores rubbing off on touching leaves,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
General,Healthy,no fungal or bacterial symptoms visible on plant,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Rice,Rice Blast,neck blast causing white unfilled panicles,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Wheat,Powdery Mildew,white mildew patches spreading to ear head,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Rice,Rice Blast,nodal blackening leading to lodging of plant,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Wheat,Powdery Mildew,white blister like patches on leaf surface,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Maize,Leaf Blight,leaf blight reducing grain filling in maize,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Cotton,Root Rot,field showing scattered dead cotton plants,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Maize,Leaf Blight,brown streaks extending from leaf tip to base,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Wheat,Powdery Mildew,poor grain filling due to powdery mildew infection,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Rice,Bacterial Blight,young seedlings collapsing and turning yellow rapidly,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Wheat,Powdery Mildew,stunted plant growth with white powder on leaves,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Rice,Bacterial Blight,yellowing spreading from leaf tip towards base,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Sugarcane,Red Rot,leaves showing yellowing and drying from top,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
